Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 695,urban 4190,Undirected,0,,,1,(urban 695),none,(urban 4190),9.9,0,default,urbanangrycollectives,0,true
urban 5747,urban 6176,Undirected,1,,,1,(urban 5747),none,(urban 6176),9.9,0,default,urbanangrycollectives,0,true
urban 1222,urban 5579,Undirected,2,,,1,(urban 1222),none,(urban 5579),9.9,0,default,urbanangrycollectives,0,true
urban 972,urban 1455,Undirected,3,,,1,(urban 972),none,(urban 1455),9.9,0,default,urbanangrycollectives,0,true
urban 1256,urban 1761,Undirected,4,,,1,(urban 1256),none,(urban 1761),9.9,0,default,urbanangrycollectives,0,true
urban 589,urban 5702,Undirected,5,,,1,(urban 589),none,(urban 5702),9.9,0,default,urbanangrycollectives,0,true
urban 450,urban 5868,Undirected,6,,,1,(urban 450),none,(urban 5868),9.9,0,default,urbanangrycollectives,0,true
urban 551,urban 2379,Undirected,7,,,1,(urban 551),none,(urban 2379),9.9,0,default,urbanangrycollectives,0,true
urban 5590,urban 5888,Undirected,8,,,1,(urban 5590),none,(urban 5888),9.9,0,default,urbanangrycollectives,0,true
urban 1176,urban 4446,Undirected,9,,,1,(urban 1176),none,(urban 4446),9.9,0,default,urbanangrycollectives,0,true
urban 2800,urban 5439,Undirected,10,,,1,(urban 2800),none,(urban 5439),9.9,0,default,urbanangrycollectives,0,true
urban 3079,urban 4818,Undirected,11,,,1,(urban 3079),none,(urban 4818),9.9,0,default,urbanangrycollectives,0,true
urban 1048,urban 2164,Undirected,12,,,1,(urban 1048),none,(urban 2164),9.9,0,default,urbanangrycollectives,0,true
urban 5358,urban 6266,Undirected,13,,,1,(urban 5358),none,(urban 6266),9.9,0,default,urbanangrycollectives,0,true
urban 2704,urban 4782,Undirected,14,,,1,(urban 2704),none,(urban 4782),9.9,0,default,urbanangrycollectives,0,true
urban 5636,urban 6364,Undirected,15,,,1,(urban 5636),none,(urban 6364),9.9,0,default,urbanangrycollectives,0,true
urban 4155,urban 4205,Undirected,16,,,1,(urban 4155),none,(urban 4205),9.9,0,default,urbanangrycollectives,0,true
urban 4465,urban 5021,Undirected,17,,,1,(urban 4465),none,(urban 5021),9.9,0,default,urbanangrycollectives,0,true
urban 2451,urban 2556,Undirected,18,,,1,(urban 2451),none,(urban 2556),9.9,0,default,urbanangrycollectives,0,true
urban 546,urban 3866,Undirected,19,,,1,(urban 546),none,(urban 3866),9.9,0,default,urbanangrycollectives,0,true
urban 3563,urban 3600,Undirected,20,,,1,(urban 3563),none,(urban 3600),9.9,0,default,urbanangrycollectives,0,true
urban 262,urban 932,Undirected,21,,,1,(urban 262),none,(urban 932),9.9,0,default,urbanangrycollectives,0,true
urban 4464,urban 5843,Undirected,22,,,1,(urban 4464),none,(urban 5843),9.9,0,default,urbanangrycollectives,0,true
urban 4296,urban 5147,Undirected,23,,,1,(urban 4296),none,(urban 5147),9.9,0,default,urbanangrycollectives,0,true
urban 4530,urban 6184,Undirected,24,,,1,(urban 4530),none,(urban 6184),9.9,0,default,urbanangrycollectives,0,true
urban 3558,urban 4283,Undirected,25,,,1,(urban 3558),none,(urban 4283),9.9,0,default,urbanangrycollectives,0,true
urban 4603,urban 5168,Undirected,26,,,1,(urban 4603),none,(urban 5168),9.9,0,default,urbanangrycollectives,0,true
urban 2582,urban 5444,Undirected,27,,,1,(urban 2582),none,(urban 5444),9.9,0,default,urbanangrycollectives,0,true
urban 173,urban 4090,Undirected,28,,,1,(urban 173),none,(urban 4090),9.9,0,default,urbanangrycollectives,0,true
urban 3061,urban 3290,Undirected,29,,,1,(urban 3061),none,(urban 3290),9.9,0,default,urbanangrycollectives,0,true
urban 3096,urban 4319,Undirected,30,,,1,(urban 3096),none,(urban 4319),9.9,0,default,urbanangrycollectives,0,true
urban 1126,urban 5660,Undirected,31,,,1,(urban 1126),none,(urban 5660),9.9,0,default,urbanangrycollectives,0,true
urban 1755,urban 5002,Undirected,32,,,1,(urban 1755),none,(urban 5002),9.9,0,default,urbanangrycollectives,0,true
urban 2064,urban 4049,Undirected,33,,,1,(urban 2064),none,(urban 4049),9.9,0,default,urbanangrycollectives,0,true
urban 640,urban 5367,Undirected,34,,,1,(urban 640),none,(urban 5367),9.9,0,default,urbanangrycollectives,0,true
urban 1122,urban 3420,Undirected,35,,,1,(urban 1122),none,(urban 3420),9.9,0,default,urbanangrycollectives,0,true
urban 3262,urban 4628,Undirected,36,,,1,(urban 3262),none,(urban 4628),9.9,0,default,urbanangrycollectives,0,true
urban 4273,urban 4492,Undirected,37,,,1,(urban 4273),none,(urban 4492),9.9,0,default,urbanangrycollectives,0,true
urban 2525,urban 4988,Undirected,38,,,1,(urban 2525),none,(urban 4988),9.9,0,default,urbanangrycollectives,0,true
urban 772,urban 4575,Undirected,39,,,1,(urban 772),none,(urban 4575),9.9,0,default,urbanangrycollectives,0,true
urban 831,urban 4599,Undirected,40,,,1,(urban 831),none,(urban 4599),9.9,0,default,urbanangrycollectives,0,true
urban 3104,urban 4488,Undirected,41,,,1,(urban 3104),none,(urban 4488),9.9,0,default,urbanangrycollectives,0,true
urban 1615,urban 4372,Undirected,42,,,1,(urban 1615),none,(urban 4372),9.9,0,default,urbanangrycollectives,0,true
urban 3033,urban 5889,Undirected,43,,,1,(urban 3033),none,(urban 5889),9.9,0,default,urbanangrycollectives,0,true
urban 4174,urban 5571,Undirected,44,,,1,(urban 4174),none,(urban 5571),9.9,0,default,urbanangrycollectives,0,true
urban 191,urban 697,Undirected,45,,,1,(urban 191),none,(urban 697),9.9,0,default,urbanangrycollectives,0,true
urban 4480,urban 4946,Undirected,46,,,1,(urban 4480),none,(urban 4946),9.9,0,default,urbanangrycollectives,0,true
urban 3423,urban 3850,Undirected,47,,,1,(urban 3423),none,(urban 3850),9.9,0,default,urbanangrycollectives,0,true
urban 1034,urban 5407,Undirected,48,,,1,(urban 1034),none,(urban 5407),9.9,0,default,urbanangrycollectives,0,true
urban 713,urban 3086,Undirected,49,,,1,(urban 713),none,(urban 3086),9.9,0,default,urbanangrycollectives,0,true
urban 2037,urban 6240,Undirected,50,,,1,(urban 2037),none,(urban 6240),9.9,0,default,urbanangrycollectives,0,true
urban 1148,urban 2673,Undirected,51,,,1,(urban 1148),none,(urban 2673),9.9,0,default,urbanangrycollectives,0,true
urban 872,urban 1950,Undirected,52,,,1,(urban 872),none,(urban 1950),9.9,0,default,urbanangrycollectives,0,true
urban 1171,urban 5681,Undirected,53,,,1,(urban 1171),none,(urban 5681),9.9,0,default,urbanangrycollectives,0,true
urban 2439,urban 5136,Undirected,54,,,1,(urban 2439),none,(urban 5136),9.9,0,default,urbanangrycollectives,0,true
urban 3345,urban 5500,Undirected,55,,,1,(urban 3345),none,(urban 5500),9.9,0,default,urbanangrycollectives,0,true
urban 2716,urban 3264,Undirected,56,,,1,(urban 2716),none,(urban 3264),9.9,0,default,urbanangrycollectives,0,true
urban 193,urban 5030,Undirected,57,,,1,(urban 193),none,(urban 5030),9.9,0,default,urbanangrycollectives,0,true
